기관코드,기관명,식별자,제목,발행,source_url,관련여부,매칭키워드,요약여부,갱신일
kice-research,교육과정평가원 연구보고서,1359,KICE 연구 성과 데이터 수집 및 분류 표준화 방안 연구[2026 KICE 이슈페이퍼](ORM 2026-42-1),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1359&s=kice&m=030109,o,데이터,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1358,KICE 교육데이터에 기반한 초·중등 연구 성과의 통합적 제공 방안 탐색(RRO 2026-1),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1358&s=kice&m=030109,o,데이터,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1357,학생 맞춤형 평가를 위한 인공지능 모델 학습용 데이터 구축 방안 연구(Ⅱ)( RRE 2026-1),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1357&s=kice&m=030109,o,데이터;인공지능,o,2026-07-20
kice-research,교육과정평가원 연구보고서,1356,학습자 친화적 어휘 교수학습 지원 방안 탐색 및 콘텐츠 개발(RRI 2026-1),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1356&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1355,고교학점제 도입에 따른 과목 이수 현황 종단 연구(Ⅰ)(RRC 2026-1),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1355&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1354,교과 역량 중심 수업 평가 실천을 위한 자료집 : 사회과 과학과(연구자료 ORM 2026-39),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1354&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1353,"역량 중심 수업･평가 실천을 위한 교과 역량 체계 개발 연구(Ⅰ) : 사회, 과학 교과를 중심으로(RRC 2026-2)",2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1353&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1352,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 한문(ORM 2025-90-26),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1352&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1351,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 베트남어(ORM 2025-90-25),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1351&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1350,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 아랍어(ORM 2025-90-24),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1350&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1349,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 러시아어(ORM 2025-90-23),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1349&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1348,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 일본어(ORM 2025-90-22),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1348&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1347,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 중국어(ORM 2025-90-21),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1347&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1346,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 스페인어(ORM 2025-90-20),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1346&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1345,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 프랑스어(ORM 2025-90-19),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1345&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1344,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 독일어(ORM 2025-90-18),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1344&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1343,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 인공지능 기초(ORM 2025-90-17),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1343&s=kice&m=030109,o,인공지능,o,2026-07-20
kice-research,교육과정평가원 연구보고서,1342,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 생활과학 탐구(ORM 2025-90-16),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1342&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1341,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 로봇과 공학세계(ORM 2025-90-15),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1341&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1340,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 미술 감상과 비평(ORM 2025-90-14),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1340&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1339,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 음악 감상과 비평(ORM 2025-90-13),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1339&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1338,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 운동과 건강(ORM 2025-90-12),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1338&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1337,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 지구과학(ORM 2025-90-11),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1337&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1336,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 생명과학(ORM 2025-90-10),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1336&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1335,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 화학(ORM 2025-90-9),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1335&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1334,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 물리학(ORM 2025-90-8),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1334&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1333,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 현대사회와 윤리(ORM 2025-90-7),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1333&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1332,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 사회와 문화(ORM 2025-90-6),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1332&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1331,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 세계사(ORM 2025-90-5),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1331&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1330,2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 세계시민과 지리(ORM 2025-90-4),2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1330&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1329,"2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 직무 영어, 영미 문학 읽기(ORM 2025-90-3)",2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1329&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1328,"2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 기하, 미적분 Ⅱ, 경제 수학(ORM 2025-90-2)",2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1328&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1327,"2022 개정 교육과정에 따른 고등학교 학점 이수 지원 자료 - 주제 탐구 독서, 문학과 영상(ORM 2025-90-1)",2026,https://www.kice.re.kr/resrchBoard/view.do?seq=1327&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1326,초･중등학교 수학 교사 교육 개선 방안 탐색: 미국 edTPA 활용 가능성 탐색을 중심으로(RRI 2025-4),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1326&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1325,국정과제에 따른 KICE 연구 현안 대응 방향 탐색 [2025 KICE 이슈페이퍼](ORM 2025-41-19),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1325&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1324,국가교육과정 거버넌스 변화에 따른 국가교육과정정보센터(NCIC) 개선 방안 탐색(RRC 2025-3),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1324&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1323,고교학점제에서 진로ㆍ학업 설계 지도 역량 함양을 위한 자료집(ORM 2025-118),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1323&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1322,고교학점제 안착을 위한 진로ㆍ학업 설계 지도 역량 함양 방안 연구(RRC 2025-8),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1322&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1321,중등학교 성취평가 질 제고를 위한 신뢰성 확보 방안 (I)(RRE 2025-7),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1321&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1320,교과 서ㆍ논술형 평가 자동채점을 위한 인공지능 모델 적용 방안 연구(II)(RRE 2025-5),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1320&s=kice&m=030109,o,인공지능;자동채점,o,2026-07-20
kice-research,교육과정평가원 연구보고서,1319,2022 개정 교육과정에 따른 중학교 교과별 디지털 도구 활용 방안(RRC 2025-1),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1319&s=kice&m=030109,o,디지털,o,2026-07-20
kice-research,교육과정평가원 연구보고서,1318,2022 개정 교육과정에 따른 초·중학교 디지털 미디어 리터러시 교수·학습 가이드북(ORM 2025-99),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1318&s=kice&m=030109,o,디지털;디지털 미디어;미디어 리터러시,o,2026-07-20
kice-research,교육과정평가원 연구보고서,1317,초ㆍ중학교 디지털 미디어 리터러시 교수ㆍ학습 방안 연구(Ⅱ): 교수ㆍ학습 프로그램 개발(RRC 2025-6),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1317&s=kice&m=030109,o,디지털;디지털 미디어;미디어 리터러시,o,2026-07-20
kice-research,교육과정평가원 연구보고서,1316,초·중등 통합운영학교를 위한 교육과정 개발 및 지원 방안 탐색(RRC 2025-2),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1316&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1315,교과 특성에 따른 교과 교육과정 내용 구성 방안 연구(RRC 2025-4),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1315&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1314,국가교육과정 개정 연구 체제 구축 및 사회적 수용 제고 방안 탐색 연구(RRC 2025-5),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1314&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1313,수업 및 평가 역량 제고를 위한 시뮬레이션 기반 교사 역량 진단 시스템 구축(Ⅰ)(RRI 2025-5),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1313&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1312,TIMSS 2023 결과 및 변화 추이 심층 분석 (RRE 2025-6),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1312&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1311,PISA/ICILS 상위국의 성취 특성 분석(RRE 2025-4),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1311&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1310,2019~2024년 국가수준 학업성취도 평가 결과에 기반한 2015 개정 교육과정 시기의 학업성취 특성 분석(RRE 2025-2),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1310&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1309,컴퓨터 기반 학업성취도 평가의 채점 체제 개선 방안(RRE 2025-3),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1309&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1308,수업 및 평가를 위한 생성형 AI 활용 가이드라인(ORM 2025-112),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1308&s=kice&m=030109,o,AI;생성형,o,2026-07-20
kice-research,교육과정평가원 연구보고서,1307,초･중학교 수리 소양 실태 분석 및 지원 방안 탐색(Ⅰ)(RRI 2025-2),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1307&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1306,학습지원대상학생의 기초학력 향상 점검 지표 개발(Ⅰ)(RRI 2025-1),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1306&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1305,교사의 수업 및 평가 지원을 위한 생성형 AI 활용 방안 탐색(RRI 2025-3),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1305&s=kice&m=030109,o,AI;생성형,o,2026-07-20
kice-research,교육과정평가원 연구보고서,1304,고교학점제 학점인정 이수기준 현안 분석 및 개선 방안 탐색을 위한 토론회(ORM 2025-113),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1304&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1303,TIMSS 2023 수학·과학 성취 특성 및 변화 추이[2025 KICE 이슈페이퍼](ORM 2025-41-14),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1303&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1302,고교학점제 성과 개념 및 성과 지표 개발 [2025 KICE 이슈페이퍼](ORM 2025-41-17),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1302&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1301,고교학점제 성과 분석을 위한 1차 연도 조사 결과 [2025 KICE 이슈페이퍼](ORM 2025-41-18),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1301&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1300,기초학력 전담교사 운영 현황 및 지원 방안 [2025 KICE 이슈페이퍼](ORM 2025-41-16),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1300&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1299,2015 개정 교육과정 시기 중학생들의 학업성취 특성 주요 특징 분석[2025 KICE 이슈페이퍼](ORM 2025-41-13),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1299&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1298,시뮬레이션 기반 교사의 역량 진단 시스템개발 및 활용 방안 [2025 KICE 이슈페이퍼](ORM 2025-41-15),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1298&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1297,채점 신뢰도 제고를 위한 서술형 문항 채점 설계 방안 탐색[2025 KICE 이슈페이퍼](ORM 2025-41-13),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1297&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1296,"PISA 2022 상위국의 수학, 읽기, 과학 성취와 교육맥락변인 간 관계[2025 KICE 이슈페이퍼](ORM 2025-41-11)",2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1296&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1295,디지털 미디어 리터러시교육 관련 쟁점 및 학교 지원 방안[2025 KICE 이슈페이퍼](ORM 2025-41-10),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1295&s=kice&m=030109,o,디지털;디지털 미디어;미디어 리터러시,o,2026-07-20
kice-research,교육과정평가원 연구보고서,1294,국가교육과정 개정 연구에서 사회적 수용의 개념 및 제고 방향 탐색[2025 KICE 이슈페이퍼](ORM 2025-41-9),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1294&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1293,고교학점제 본격 적용 첫해 학교 교육과정 편제 경향[2025 KICE 이슈페이퍼](ORM 2025-53),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1293&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1292,디지털 도구 활용에 관한 중학교 교사의 인식 및 요구 조사[2025 KICE 이슈페이퍼](ORM 2025-41-2),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1292&s=kice&m=030109,o,디지털,o,2026-07-20
kice-research,교육과정평가원 연구보고서,1291,서･논술형 평가에 대한 쟁점 및 요구 분석[2025 KICE 이슈페이퍼](ORM 2025-41-8),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1291&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1290,초등 1~2학년 교육과정의 개선 방향 탐색[2025 KICE 이슈페이퍼](ORM 2025-41-5),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1290&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1289,이주배경 학생 밀집 지역 초등학교의 사회과(법·정치 영역) 수업 실태 탐색[2025 KICE 이슈페이퍼](ORM 2025-41-7),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1289&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1288,단위학교 학생평가 내실화를 위한 정책 방안 및 단계적 이행 계획 탐색[2025 KICE 이슈페이퍼](ORM 2025-41-6),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1288&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1287,2024년 국가수준 학업성취도 평가 결과 분석 : 중학교 과학(ORM 2025-74-8),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1287&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1286,2024년 국가수준 학업성취도 평가 결과 분석 : 중학교 사회(ORM 2025-74-7),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1286&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1285,2024년 국가수준 학업성취도 평가 결과 분석 : 고등학교 영어(ORM 2025-74-6),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1285&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1284,2024년 국가수준 학업성취도 평가 결과 분석 : 중학교 영어(ORM 2025-74-5),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1284&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1283,2024년 국가수준 학업성취도 평가 결과 분석 : 고등학교 수학(ORM 2025-74-4),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1283&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1282,2024년 국가수준 학업성취도 평가 결과 분석 : 중학교 수학( ORM 2025-74-3),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1282&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1281,2024년 국가수준 학업성취도 평가 결과 분석 : 고등학교 국어(ORM 2025-74-2),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1281&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1280,2024년 국가수준 학업성취도 평가 결과 분석 : 중학교 국어(ORM 2025-74-1),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1280&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1279,학생 맞춤형 평가를 위한 인공지능 모델 학습용 데이터 구축 방안 연구(Ⅰ)(연구보고 RRE 2025-1),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1279&s=kice&m=030109,o,데이터;인공지능,o,2026-07-20
kice-research,교육과정평가원 연구보고서,1278,진로·학업 설계 지도 역량 관련 교사 연수 및 자료 개발 실태 분석[2025 KICE 이슈페이퍼](ORM 2025-41-4),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1278&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1277,초･중등 통합운영학교 유형 탐색과 유형별 사례 분석(ORM 2025-41-3)[KICE 이슈페이퍼],2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1277&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1276,고교학점제 학점이수 인정기준 적용 현황 분석 및 지원 방안(ORM 2025-4-1)[KICE 이슈페이퍼],2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1276&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1275,2022 개정 교육과정에 따른 고등학교 체육과 선택과목 성취수준 개발 연구,2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1275&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1274,2022 개정 교육과정에 따른 고등학교 체육 계열 선택과목 성취수준 개발 연구,2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1274&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1273,2022 개정 교육과정에 따른 고등학교 음악과 선택과목 성취수준 개발 연구,2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1273&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1272,2022 개정 교육과정에 따른 고등학교 예술계열 선택과목 성취수준 개발 연구,2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1272&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1271,2022 개정 교육과정에 따른 고등학교 영어과 선택과목 성취수준 개발 연구(CRC 2025-5),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1271&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1270,2022 개정 교육과정에 따른 고등학교 역사과 선택과목 성취수준 개발 연구(CRC 2025-7),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1270&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1269,2022 개정 교육과정에 따른 고등학교 수학과 선택과목 성취수준 개발 연구(CRC 2025-4),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1269&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1268,2022 개정 교육과정에 따른 고등학교 선택과목 성취수준 개발 연구(총론)(CRC 2025-2),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1268&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1267,2022 개정 교육과정에 따른 고등학교 사회과 선택과목 성취수준 개발 연구(CRC 2025-6),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1267&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1266,2022 개정 교육과정에 따른 고등학교 미술과 선택과목 성취수준 개발 연구(CRC 2025-12),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1266&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1265,2022 개정 교육과정에 따른 고등학교 도덕과 선택과목 성취수준 개발 연구(CRC 2025-8),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1265&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1264,2022 개정 교육과정에 따른 고등학교 기술·가정과 선택과목 성취수준 개발 연구(CRC 2025-13),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1264&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1263,2022 개정 교육과정에 따른 고등학교 국어과 선택과목 성취수준 개발 연구(CRC 2025-3),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1263&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1262,2022 개정 교육과정에 따른 고등학교 교양 선택과목 성취수준 개발 연구(CRC 2025-15),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1262&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1261,2022 개정 교육과정에 따른 고등학교 과학과 선택과목 성취수준 개발 연구(CRC 2025-9),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1261&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1260,2022 개정 교육과정에 따른 고등학교 과학 계열(수학) 선택과목 성취수준 개발 연구(CRC 2025-16-1),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1260&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1259,2022 개정 교육과정에 따른 고등학교 과학 계열(과학) 선택과목 성취수준 개발 연구(CRC 2025-16-2),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1259&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1258,2022 개정 교육과정에 따른 고등학교 제2외국어과(베트남어) 선택과목 성취수준 개발 연구(CRC 2025-14-8),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1258&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1257,2022 개정 교육과정에 따른 고등학교 제2외국어과(아랍어) 선택과목 성취수준 개발 연구(CRC 2025-14-7),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1257&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1256,2022 개정 교육과정에 따른 고등학교 제2외국어과(러시아어) 선택과목 성취수준 개발 연구(CRC 2025-14-6),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1256&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1255,2022 개정 교육과정에 따른 고등학교 제2외국어과(일본어) 선택과목 성취수준 개발 연구,2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1255&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1254,2022 개정 교육과정에 따른 고등학교 제2외국어과(중국어) 선택과목 성취수준 개발 연구(CRC 2025-14-4),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1254&s=kice&m=030109,X,,X,2026-07-20
kice-research,교육과정평가원 연구보고서,1253,2022 개정 교육과정에 따른 고등학교 제2외국어과(스페인어) 선택과목 성취수준 개발 연구(CRC 2025-14-3),2025,https://www.kice.re.kr/resrchBoard/view.do?seq=1253&s=kice&m=030109,X,,X,2026-07-20
